[2019-06-24T14:07:49.758+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0003897 seconds, Stopping threads took: 0.0000527 seconds
[2019-06-24T14:07:49.789+0000][1][safepoint    ] Application time: 0.0312211 seconds
[2019-06-24T14:07:49.789+0000][1][safepoint    ] Entering safepoint region: Deoptimize
[2019-06-24T14:07:49.789+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:49.789+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0003740 seconds, Stopping threads took: 0.0000233 seconds
[2019-06-24T14:07:49.822+0000][1][safepoint    ] Application time: 0.0322357 seconds
[2019-06-24T14:07:49.822+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:49.822+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:49.822+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0001258 seconds, Stopping threads took: 0.0000200 seconds
[2019-06-24T14:07:49.825+0000][1][safepoint    ] Application time: 0.0033573 seconds
[2019-06-24T14:07:49.829+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:49.829+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:49.829+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0040763 seconds, Stopping threads took: 0.0039712 seconds
[2019-06-24T14:07:49.833+0000][1][safepoint    ] Application time: 0.0039206 seconds
[2019-06-24T14:07:49.833+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:49.833+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:49.833+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0000929 seconds, Stopping threads took: 0.0000347 seconds
[2019-06-24T14:07:49.845+0000][1][safepoint    ] Application time: 0.0117794 seconds
[2019-06-24T14:07:49.845+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:49.845+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:49.845+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0002017 seconds, Stopping threads took: 0.0000797 seconds
[2019-06-24T14:07:49.850+0000][1][safepoint    ] Application time: 0.0041068 seconds
[2019-06-24T14:07:49.850+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:49.850+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:49.850+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0001505 seconds, Stopping threads took: 0.0000825 seconds
[2019-06-24T14:07:50.061+0000][1][safepoint    ] Application time: 0.2113927 seconds
[2019-06-24T14:07:50.066+0000][1][safepoint    ] Entering safepoint region: GenCollectForAllocation
[2019-06-24T14:07:50.066+0000][1][gc,start     ] GC(0) Pause Young (Allocation Failure)
[2019-06-24T14:07:50.085+0000][1][gc,task      ] GC(0) Using 5 workers of 8 for evacuation
[2019-06-24T14:07:50.118+0000][1][gc,age       ] GC(0) Desired survivor size 4456448 bytes, new threshold 1 (max threshold 6)
[2019-06-24T14:07:50.119+0000][1][gc,age       ] GC(0) Age table with threshold 1 (max threshold 6)
[2019-06-24T14:07:50.119+0000][1][gc,age       ] GC(0) - age   1:    7801576 bytes,    7801576 total
[2019-06-24T14:07:50.119+0000][1][gc,heap      ] GC(0) ParNew: 69952K->7721K(78656K)
[2019-06-24T14:07:50.119+0000][1][gc,heap      ] GC(0) CMS: 0K->0K(174784K)
